|word|wordcount
321|рф мошенничество|20
322|находится больнице|20
323|вреда здоровью|20
324|квадратного метра|20
325|министр россии|20
326|следственном изоляторе|20
327|тренера сборной|20
328|миллиона долларов|20
329|намерено обратиться|20
330|состав россии|20
331|представителя гувд|20
332|процента процента|20
333|составляет долларов|20
334|данным министерства|20
335|предложил ужесточить|20
336|эхо москвы|20
337|составила миллиарда|20
338|акций ростелекома|19
339|покинуть дома|19
340|миллиона рублей|19
341|подписал закон|19
342|ряде городов|19
343|гувд москвы|19
344|взрыва пострадал|19
345|настоящее районе|19
346|решается возбуждении|19
347|вооружении ввс|19
348|стоимость контракта|19
349|взрыва погибли|19
350|последнее стране|19
351|произошел августа|19
352|трамп заявил|19
353|территории украины|19
354|факту произошедшего|19
355|заявил готова|19
356|россии владимира|19
357|расследования дела|19
358|соответствующее заявление|19
359|словам сможет|19
360|россии прошел|19
361|чрезвычайной ситуации|19
362|случае необходимости|19
363|апреля заявил|19
364|словам ходе|19
365|работают специалисты|19
366|настоящее производстве|19
367|завершилась победой|19
368|заявил правительство|19
369|котором находились|19
370|особо крупном|18
371|отказываться планов|18
372|суд москвы|18
373|крупном размере|18
374|россии фхр|18
375|следствия результате|18
376|ходе допроса|18
377|ранения различной|18
378|данным мвд|18
379|эксплуатации воздушного|18
380|главного редактора|18
381|россии пройдет|18
382|настоящее квартире|18
383|районе ингушетии|18
384|говорится сообщении|18
385|наблюдается рост|18
386|обороны рф|18
387|рф убийство|18
388|стране хватает|18
389|самых популярных|18
390|задержаны трое|18
391|австралии австралии|18
392|настоящее отношении|18
393|выборы президента|18
394|издания погибли|18
395|крушения самолета|18
396|данным агентства|18
397|совета федерации|17
398|специальная комиссия|17
399|режим чрезвычайной|17
400|борту самолета|17
401|попытках образования|17
402|юго востоке|17
403|первым заместителем|17
404|результате аварии|17
405|газпром газпром|17
406|среду июля|17
407|ряда стран|17
408|произошедшего возбуждено|17
409|попытках экономического|17
410|удалось прийти|17
411|дональда трампа|17
412|попытках переворота|17
413|борту лайнера|17
414|россии введены|17
415|тысячи рублей|17
416|размере рублей|17
417|сокращении добычи|17
418|тонн нефти|17
419|некоторых регионах|17
420|удалось сбежать|17
421|указ реабилитации|17
422|находится следственном|17
423|данным результате|17
424|россии владимиру|17
425|объем инвестиций|17
426|настоящее устанавливаются|17
427|заявил глава|17
428|регионах страны|17
429|результате мероприятий|17
430|редактора газеты|17
431|прибыли сотрудники|17
432|декабря сайте|16
433|откажется планов|16
434|донбассе начался|16
435|обама подписал|16
436|находившихся борту|16
437|аналогичный период|16
438|транзита газа|16
439|россии зарегистрировано|16
440|нанесен ущерб|16
441|умышленное причинение|16
442|нефтяных компаний|16
443|результате крушения|16
444|рынке новостроек|16
445|крупнейших нефтяных|16
446|самолета находились|16
447|ходе разговора|16
448|экономического развития|16
449|период прошлого|16
450|мнению экспертов|16
451|итоге суд|16
452|службу ведомства|16
453|вырос процента|16
454|конкурсе приняли|16
455|конфликт донбассе|16
456|выделено миллиардов|16
457|газеты ведомости|16
458|сделки составила|16
459|человека числе|16
460|министр украины|16
461|работает следственная|16
462|апреля премьер|16
463|сократится процента|16
464|доставлен больницу|16
465|комментировать информацию|16
466|мероприятий погибли|16
467|тяжкого вреда|16
468|реабилитации крымско|16
469|заседание суда|16
470|приговорен годам|16
471|районах страны|16
472|причинение тяжкого|16
473|московском метро|16
474|погибли двое|16
475|попытках захвата|16
476|находится контролем|16
477|россии дмитрий|15
478|стоимость квадратного|15
479|числе полевых|15
480|полевых командиров|15
481|заместителем министра|15
482|украины арсений|15
483|перешел суд|15
484|частности вынужден|15
485|возглавлял министерство|15
486|создать специальную|15
487|перешел москву|15
488|опубликовано сайте|15
489|снизился процента|15
490|находились пассажиров|15
491|расследование обстоятельств|15
492|декабря сообщалось|15
493|движения эксплуатации|15
494|проект постановления|15
495|турнирной таблице|15
496|выиграть выборы|15
497|врачи оценивают|15
498|заявление сделал|15
499|дата выхода|15
500|разработку месторождения|15
501|мнению представителей|15
502|напомним результате|15
503|новости заявил|15
504|арсений яценюк|15
505|выйдет экраны|15
506|сообщалось результате|15
507|бараком обамой|15
508|отметил газпром|15
509|сообщили риа|15
510|находились членов|15
511|годам тюрьмы|15
512|сша бараком|15
513|воскресенье июня|15
514|администрации президента|15
515|очевидцев результате|15
516|августа сообщалось|15
517|версии следствия|15
518|кубометров газа|15
519|лайнера находились|15
520|встреча прошла|15
521|председателя правления|15
522|выиграл чемпионат|15
523|четверг мая|14
524|нью йорке|14
525|слава слава|14
526|сборную россии|14
527|намерено увеличить|14
528|экипажа членов|14
529|массовые протесты|14
530|вынужден отказаться|14
531|частности случае|14
532|намерено выделить|14
533|итогам тендера|14
534|путин предложил|14
535|великой отечественной|14
536|сообщает агентство|14
537|интервью газете|14
538|находились числе|14
539|вынужден увеличить|14
540|лидеров оппозиции|14
541|аксессуары изделия|14
542|правил дорожного|14
543|уполномоченного правам|14
544|некоторых случаях|14
545|удалось обнаружить|14
546|сайт уефа|14
547|июля сообщает|14
548|победы выборах|14
549|отметил является|14
550|газа украину|14
551|запрете въезда|14
552|подозреваемых причастности|14
553|пресс релизе|14
554|ходе заседания|14
555|согласно закону|14
556|введении санкций|14
557|обстоятельств происшествия|14
558|заявил ближайшее|14
559|международный розыск|14
560|причины возгорания|14
561|полицией погибли|14
562|погибли трое|14
563|сайте издания|14
564|устанавливаются обстоятельства|14
565|составил миллиардов|14
566|визового режима|14
567|идут переговоры|14
568|сообщалось правительство|14
569|слова приводит|14
570|рост цен|14
571|отметил собирается|14
572|стоимость проекта|14
573|рф умышленное|14
574|дивидендов размере|14
575|данным погибли|14
576|выборы госдуму|14
577|взрывчатых веществ|13
578|пожара здании|13
579|пост министра|13
580|происшествия работает|13
581|курс доллара|13
582|некоторых странах|13
583|данным газеты|13
584|реализацию программы|13
585|востоке украины|13
586|новых санкций|13
587|находятся состоянии|13
588|составила квадратных|13
589|представил путину|13
590|экономики страны|13
591|отечественной войне|13
592|настоящее решается|13
593|решение введении|13
594|летний местный|13
595|референдум вопросу|13
596|защита просила|13
597|звания героя|13
598|выделено рублей|13
599|государство иг|13
600|совершить посадку|13
601|исполнять обязанности|13
602|насилия отношении|13
603|числе россиян|13
604|жилья москве|13
605|напомним россии|13
606|согласно результатам|13
607|стране принято|13
608|местный житель|13
609|присоединения региона|13
610|единиц техники|13
611|покушение убийство|13
612|попытки новых|13
613|годам лишения|13
614|прошел митинг|13
615|автономном округе|13
616|выплату компенсаций|13
617|общей сложности|13
618|информации агентства|13
619|хранении взрывчатых|13
620|намерена отказываться|13
621|газете ведомости|13
622|представителей белого|13
623|запрещена россии|13
624|решение назначении|13
625|введении визового|13
626|последние дня|12
627|рассмотрение госдумы|12
628|мяса птицы|12
629|героя россии|12
630|сергей лавров|12
631|обвинил москву|12
632|словам намерен|12
633|яценюк заявил|12
634|газа европу|12
635|число жертв|12
636|словам арестован|12
637|россии акций|12
638|весной попытки|12
639|экономического сотрудничества|12
640|образования науки|12
641|заместитель министра|12
642|апреля правительство|12
643|финале соревнований|12
644|афганистане убиты|12
645|первом полугодии|12
646|ссылаясь источники|12
647|нескольких недель|12
648|число погибших|12
649|новых властей|12
650|право вето|12
651|данным источника|12
652|процедура присоединения|12
653|финансирования составил|12
654|настоящее городе|12
655|безопасности оон|12
656|результате нападения|12
657|международного права|12
658|финансов россии|12
659|правоохранительные органы|12
660|переговоров президентом|12
661|колонии строгого|12
662|вынужден совершить|12
663|трое боевиков|12
664|сессии декабря|12
665|россии создано|12
666|издания результате|12
667|заявил заместитель|12
668|отмечается ходе|12
669|группировка исламское|12
670|работают спасатели|12
671|принял решение|12
672|миллиона тонн|12
673|строгого режима|12
674|размещенном сайте|12
675|вынужден заплатить|12
676|позволит увеличить|12
677|продано долларов|12
678|числе дети|12
679|министерство обороны|12
680|решение возбуждении|12
681|герман греф|12
682|размере долларов|12
683|санкт петербурга|12
684|участие конкурсе|12
685|действовать течение|12
686|афганистане афганистане|12
687|продано евро|12
688|юго западе|12
689|апреля сообщалось|12
690|агентства результате|12
691|миллиарда евро|11
692|сша дональда|11
693|повысить эффективность|11
694|сообщении размещенном|11
695|второе рейтинге|11
696|региона соответствовала|11
697|сумма сделки|11
698|й минутах|11
699|настоящее москве|11
700|результате землетрясения|11
701|обязанности главы|11
702|причиной крушения|11
703|словам признает|11
704|заявил является|11
705|выяснилось арестован|11
706|удостоен звания|11
707|введен режим|11
708|занимал пост|11
709|словам результате|11
710|контракта составляет|11
711|собирается возвращаться|11
712|результате теракта|11
713|нового главы|11
714|соответствовала нормам|11
715|сообщает коммерсантъ|11
716|ядерного оружия|11
717|травмы различной|11
718|банк россии|11
719|ввс россии|11
720|ввоз мяса|11
721|новости ходе|11
722|задержаны числе|11
723|задержаны двое|11
724|москву попытках|11
725|расследования задержаны|11
726|готов рассмотрению|11
727|взяла ответственность|11
728|злоупотреблении полномочиями|11
729|тайип эрдоган|11
730|годам колонии|11
731|теракта стали|11
732|составила долларов|11
733|хозяев счетом|11
734|поставки газа|11
735|выборах верховную|11
736|москве санкт|11
737|визита президента|11
738|жертвами теракта|11
739|граждане россии|11
740|ужесточить контроль|11
741|задержан бишкеке|11
742|июня президент|11
743|насчитывается акций|11
744|акций юкоса|11
745|турции реджеп|11
746|итоге отмечает|11
747|пожарных расчетов|11
748|нормам международного|11
749|действуют санкции|11
750|реджеп тайип|11
751|статье нарушение|11
752|избран депутатом|11
753|производстве находятся|11
754|решения суда|11
755|кандидата президенты|11
756|сша зафиксированы|11
757|двое мужчин|11
758|данным правозащитников|11
759|источники правоохранительных|11
760|включая членов|11
761|победой хозяев|11
762|мвд россии|10
763|выросла процента|10
764|годы число|10
765|россии москве|10
766|стране зафиксированы|10
767|новости результате|10
768|фильм выйдет|10
769|ходе перестрелки|10
770|голосования киеве|10
771|заявил сможет|10
772|произошел апреля|10
773|решение сокращении|10
774|обстоятельства происшествия|10
775|одобрило идею|10
776|случае откажется|10
777|министр экономического|10
778|периодом прошлого|10
779|представители оппозиции|10
780|компенсации счет|10
781|аналогичным периодом|10
782|соглашение прекращении|10
783|россии вырос|10
784|введен план|10
785|срокам заключения|10
786|решение выделении|10
787|совета директоров|10
788|сайт кхл|10
789|сообщили пресс|10
790|выйдет прокат|10
791|территории сирии|10
792|заявил признает|10
793|индекс ртс|10
794|крым вошел|10
795|акций компании|10
796|вошел состав|10
797|приводит риа|10
798|соответствующее распоряжение|10
799|чемпионом хоккею|10
800|выручка компании|10
801|метров офисных|10
802|операции сирии|10
803|позволит создать|10
804|мая москве|10
805|трое полицейских|10
806|бытового газа|10
807|действуют массовые|10
808|сравнению аналогичным|10
809|лавров заявил|10
810|причины происшествия|10
811|заявление опубликовано|10
812|административные протоколы|10
813|милиции задержали|10
814|метро погибли|10
815|расследования обстоятельств|10
816|аварии погибли|10
817|глава мид|10
818|выборы верховную|10
819|настоящее идут|10
820|агентство интерфакс|10
821|россии процента|10
822|утверждают представители|10
823|выступил критикой|10
824|победы стране|10
825|воздушного пространства|10
826|течение недель|10
827|арестован таиланде|10
828|правительство одобрило|10
829|работает специальная|10
830|гу мвд|10
831|вызвало возмущение|10
832|акций газпрома|10
833|советником президента|10
834|ходе проверок|10
835|погибли среди|10
836|убиты трое|10
837|нефтяной компании|10
838|россии сократится|10
839|ходе обыска|10
840|столкновения погибли|10
841|теракта погибли|10
842|россии задержаны|10
843|пострадал итоге|10
844|словам случае|10
845|результате катастрофы|10
846|составляет рублей|10
847|годы стране|10
848|частности последние|10
849|действуют военнослужащих|10
850|заявил президент|10
851|победы великой|10
852|чемпионата россии|10
853|данным полиции|10
854|провел матчей|10
855|афганистане погибли|9
856|сможет ринг|9
857|банке отметили|9
858|президиума госсовета|9
859|официальные лица|9
860|разу разу|9
861|точная дата|9
862|вынуждены открыть|9
863|отметил ближайшее|9
864|издания настоящее|9
865|поводом задержания|9
866|продано копий|9
867|продаж составил|9
868|команда набрала|9
869|заявил намерен|9
870|незаконном обороте|9
871|декабре президент|9
872|процента пунктов|9
873|полицией убиты|9
874|дела статье|9
875|погибли сотни|9
876|россии зафиксированы|9
877|плохих погодных|9
878|сможет согласие|9
879|ссылкой заявление|9
880|погодных условий|9
881|официальном пресс|9
882|комитета рф|9
883|действовать конца|9
884|сайте регионального|9
885|причастности теракту|9
886|россии санкт|9
887|столкновения полицией|9
888|греф заявил|9
889|действий погибли|9
890|мид рф|9
891|решение прекращении|9
892|изначально планировалось|9
893|встрече президентом|9
894|причины смерти|9
895|июня районе|9
896|находились состоянии|9
897|трое получили|9
898|представляющий интересы|9
899|отношении ряда|9
900|четверг июня|9
901|обороте наркотиков|9
902|страны сократится|9
903|специальную комиссию|9
904|радиостанции эхо|9
905|счет погашения|9
906|проголосовали депутатов|9
907|убиты десятков|9
908|отказались комментировать|9
909|включая детей|9
910|запасы газа|9
911|газпром заявил|9
912|принять участие|9
913|предусматривает наказание|9
914|боя числе|9
915|представители полиции|9
916|й строчке|9
917|столкновений донбассе|9
918|офисных площадей|9
919|летний возглавлял|9
920|дефицит бюджета|9
921|крушения погибли|9
922|полиции результате|9
923|заявил украине|9
924|составит миллиарда|9
925|трое мужчин|9
926|чемпионат футболу|9
927|катастрофы погибли|9
928|респондентов считают|9
929|проходили массовые|9
930|президент турции|9
931|решение суда|9
932|очевидцев настоящее|9
933|виновным совершении|9
934|уголовной ответственности|9
935|ответ просьбу|9
936|путин представил|9
937|трамп подписал|9
938|видит необходимости|9
939|внесены изменения|9
940|происшествия выехали|9
941|проголосовали избирателей|9
942|действует режим|9
943|случае отказа|9
944|западе москвы|9
945|попытках ввести|8
946|партии регионов|8
947|словам решение|8
948|выяснилось удалось|8
949|распоряжение подписал|8
950|происшествия пострадали|8
951|летний мужчина|8
952|власти страны|8
953|здании школы|8
954|пропустит чемпионат|8
955|человека госпитализированы|8
956|частности арестован|8
957|общего объема|8
958|министр финансов|8
959|россии составил|8
960|различным срокам|8
961|страны некоторых|8
962|частности сша|8
963|ответственность убийство|8
964|число участников|8
965|сотрудничества россией|8
966|россии хоккею|8
967|напомним ходе|8
968|одном городов|8
969|ходе опроса|8
970|рублей процента|8
971|вынужден передать|8
972|выяснилось признает|8
973|взрывов московском|8
974|ответственность нападение|8
975|глава минэкономразвития|8
976|ограничения ввоз|8
977|городов россии|8
978|произошел воскресенье|8
979|аренду жилья|8
980|утром среду|8
981|экономика россии|8
982|частности заявил|8
983|приняло решение|8
984|покушении убийство|8
985|проекта составит|8
986|россии введен|8
987|мая стало|8
988|приговорены различным|8
989|самых больших|8
990|отказался комментировать|8
991|сша убиты|8
992|местному московскому|8
993|данным аналитиков|8
994|мая заявил|8
995|ответственность атаку|8
996|пострадал словам|8
997|никаких заявлений|8
998|россии анатолия|8
999|представителя местной|8
1000|участвовать выборах|8
1001|заявил намерена|8
1002|среди оказались|8
1003|банка россии|8
1004|информации издания|8
1005|захвата заложников|8
1006|мнению авторов|8
1007|словам правительство|8
1008|справедливой россии|8
1009|южный поток|8
1010|избежать внимания|8
1011|отметил последнее|8
1012|общая площадь|8
1013|признал вину|8
1014|августа президент|8
1015|афганистане насчитывается|8
1016|ранее декабря|8
1017|испании испании|8
1018|апреля глава|8
1019|выделено долларов|8
1020|сообщается официальном|8
1021|объявлен международный|8
1022|занимает второе|8
1023|пост уполномоченного|8
1024|известно ходе|8
1025|манчестер юнайтед|8
1026|последним данным|8
1027|погашения долга|8
1028|включая организатора|8
1029|пройдет декабря|8
1030|настоящее насчитывается|8
1031|рассмотрение совета|8
1032|ходе выборов|8
1033|минэкономразвития герман|8
1034|частности осужден|8
1035|выборов верховную|8
1036|итоге арестован|8
1037|террористическая группировка|8
1038|отказаться планов|8
1039|неделе президент|8
1040|бюджетных средств|8
1041|триллиона рублей|8
1042|главы администрации|8
1043|назначен главой|8
1044|следствия ходе|8
1045|случае отсутствия|8
1046|крупнейших городов|8
1047|выиграть чемпионат|8
1048|миллиардов кубометров|8
1049|опубликованном сайте|8
1050|текущем россии|8
1051|стране наблюдается|8
1052|доказана действовать|8
1053|стране убиты|8
1054|самолет способен|8
1055|собирается покидать|8
1056|внесен госдуму|8
1057|заявил видит|8
1058|двое боевиков|8
1059|успешных персонажей|8
1060|четырем годам|8
1061|интервью телеканалу|8
1062|повлекшее неосторожности|8
1063|отметил признает|8
1064|стали известны|8
1065|прибыли пожарных|8
1066|июня москве|8
1067|сильных морозов|8
1068|копий игры|8
1069|возбудила уголовное|8
1070|съемки начнутся|8
1071|неосторожности смерть|8
1072|подписку невыезде|8
1073|словам удалось|8
1074|кандидата республиканцев|8
1075|данным оон|8
1076|итогам первого|8
1077|необходимого количества|8
1078|президенту владимиру|8
1079|отозвал лицензию|8
1080|заявил территории|8
1081|регионального управления|8
1082|совершено нападение|8
1083|заседании совета|8
1084|сможет участвовать|8
1085|среди граждане|8
1086|землетрясения магнитудой|8
1087|никаких документов|8
1088|заместителя председателя|8
1089|числе числе|8
1090|статусе крыма|8
1091|переговоры поставке|7
1092|уехал неизвестном|7
1093|составляет квадратных|7
1094|сайте наса|7
1095|единая единая|7
1096|обвиняют попытках|7
1097|словам позволит|7
1098|новости ссылаясь|7
1099|службе министерства|7
1100|киеве задержаны|7
1101|убиты числе|7
1102|россии сергей|7
1103|произошли столкновения|7
1104|заняла второе|7
1105|ведомства ближайшее|7
1106|газпром мегафон|7
1107|спрос нефть|7
1108|сможет сильных|7
1109|доставлены больницу|7
1110|приговорен четырем|7
1111|заявил выплату|7
1112|информация подтвердилась|7
1113|игра продолжалась|7
1114|действий российских|7
1115|опроса проведенного|7
1116|переговоры руководством|7
1117|словам газпром|7
1118|декабря столице|7
1119|государство запрещена|7
1120|результате терактов|7
1121|результате акций|7
1122|столкновения пострадал|7
1123|скорость ветра|7
1124|чрезвычайного положения|7
1125|рейтинге самых|7
1126|роста цен|7
1127|ограничения разработку|7
1128|подробности инцидента|7
1129|россии наблюдается|7
1130|число путешественников|7
1131|россии принят|7
1132|апреля стало|7
1133|россиянин провел|7
1134|личности погибших|7
1135|управления мчс|7
1136|массовые беспорядки|7
1137|ведомости ссылкой|7
1138|настоящее здании|7
